iter	Passed	Remaining
0	49	49928
1	51	25753
2	54	18016
3	55	13742
4	55	11108
5	56	9336
6	56	8061
7	57	7101
8	57	6351
9	58	5770
10	59	5352
11	60	4967
12	61	4635
13	61	4343
14	62	4113
15	63	3932
16	65	3803
17	67	3679
18	69	3597
19	71	3482
20	71	3350
21	72	3231
22	73	3115
23	74	3030
24	77	3005
25	78	2957
26	79	2868
27	80	2801
28	81	2729
29	83	2689
30	83	2620
31	84	2566
32	85	2513
33	86	2459
34	88	2432
35	90	2429
36	91	2376
37	91	2328
38	92	2279
39	93	2236
40	93	2190
41	94	2147
42	94	2106
43	95	2066
44	95	2028
45	96	1991
46	96	1958
47	97	1925
48	97	1895
49	98	1866
50	98	1840
51	99	1813
52	99	1786
53	100	1762
54	101	1738
55	101	1716
56	102	1698
57	103	1687
58	105	1687
59	106	1667
60	114	1763
61	116	1766
62	117	1752
63	120	1763
64	121	1751
65	122	1738
66	123	1722
67	124	1704
68	125	1692
69	127	1694
70	128	1677
71	129	1669
72	133	1689
73	136	1701
74	136	1689
75	137	1673
76	140	1681
77	140	1665
78	141	1650
79	142	1639
80	143	1624
81	144	1614
82	145	1608
83	147	1606
84	148	1594
85	151	1610
86	153	1610
87	158	1647
88	160	1646
89	162	1647
90	163	1634
91	164	1627
92	166	1619
93	166	1609
94	169	1617
95	170	1603
96	170	1590
97	171	1576
98	171	1563
99	182	1646
100	183	1634
101	186	1644
102	188	1645
103	190	1639
104	192	1637
105	193	1635
106	196	1635
107	199	1646
108	200	1635
109	200	1622
110	201	1612
111	202	1604
112	203	1596
113	204	1587
114	205	1578
115	206	1572
116	207	1565
117	208	1561
118	209	1551
119	210	1543
120	211	1534
121	211	1524
122	212	1515
123	213	1506
124	214	1498
125	214	1490
126	215	1481
127	216	1474
128	217	1467
129	218	1459
130	218	1452
131	219	1445
132	220	1440
133	221	1433
134	222	1426
135	223	1422
136	224	1416
137	225	1409
138	226	1402
139	227	1396
140	229	1399
141	230	1389
142	230	1384
143	232	1383
144	234	1381
145	235	1378
146	237	1376
147	238	1370
148	238	1363
149	239	1358
150	240	1351
151	241	1345
152	241	1337
153	242	1331
154	243	1325
155	244	1321
156	244	1314
157	245	1307
158	245	1301
159	246	1294
160	246	1286
161	247	1279
162	248	1274
163	249	1270
164	249	1265
165	250	1259
166	251	1254
167	252	1249
168	253	1245
169	254	1240
170	257	1249
171	258	1245
172	259	1240
173	260	1236
174	261	1231
175	268	1257
176	269	1252
177	269	1246
178	272	1249
179	273	1244
180	273	1238
181	274	1232
182	276	1234
183	277	1231
184	278	1227
185	279	1221
186	279	1216
187	280	1211
188	282	1210
189	285	1218
190	286	1214
191	287	1209
192	288	1204
193	289	1203
194	290	1200
195	291	1195
196	293	1194
197	293	1190
198	294	1185
199	296	1186
200	297	1183
201	298	1179
202	299	1175
203	299	1169
204	300	1165
205	301	1160
206	301	1156
207	309	1177
208	310	1174
209	312	1176
210	313	1173
211	314	1169
212	316	1169
213	317	1165
214	318	1162
215	319	1158
216	319	1154
217	320	1149
218	321	1144
219	322	1141
220	322	1137
221	323	1133
222	323	1128
223	324	1124
224	325	1120
225	326	1117
226	326	1113
227	327	1109
228	328	1105
229	328	1101
230	329	1097
231	330	1092
232	330	1088
233	331	1083
234	331	1079
235	332	1075
236	332	1071
237	333	1067
238	333	1063
239	334	1059
240	335	1056
241	336	1053
242	336	1049
243	337	1045
244	338	1041
245	340	1042
246	341	1040
247	341	1036
248	342	1033
249	343	1029
250	343	1026
251	356	1058
252	357	1054
253	358	1051
254	358	1048
255	359	1044
256	360	1041
257	360	1037
258	361	1034
259	361	1030
260	362	1026
261	363	1023
262	363	1019
263	364	1016
264	365	1014
265	366	1010
266	367	1007
267	367	1004
268	368	1001
269	370	1001
270	374	1007
271	375	1003
272	376	1002
273	378	1001
274	379	999
275	386	1013
276	387	1010
277	388	1007
278	388	1004
279	389	1002
280	394	1009
281	395	1007
282	397	1007
283	398	1004
284	399	1001
285	402	1003
286	402	1000
287	403	996
288	403	993
289	404	989
290	404	986
291	405	982
292	406	980
293	406	977
294	407	974
295	408	972
296	411	974
297	417	982
298	418	980
299	418	976
300	419	974
301	420	971
302	420	968
303	421	965
304	422	961
305	422	958
306	423	954
307	423	951
308	424	949
309	425	946
310	425	943
311	426	939
312	426	936
313	430	940
314	431	938
315	432	935
316	432	932
317	433	929
318	434	926
319	434	923
320	435	920
321	435	917
322	436	914
323	437	912
324	438	909
325	438	907
326	440	905
327	441	903
328	441	901
329	442	898
330	446	903
331	447	900
332	447	897
333	448	894
334	448	891
335	449	888
336	451	888
337	452	885
338	453	883
339	454	882
340	456	881
341	458	882
342	459	879
343	460	878
344	461	875
345	461	873
346	462	871
347	463	868
348	464	866
349	464	863
350	465	860
351	466	858
352	466	855
353	467	852
354	467	849
355	468	847
356	469	845
357	470	843
358	471	841
359	472	839
360	474	839
361	476	839
362	476	836
363	477	834
364	478	832
365	479	830
366	479	827
367	480	825
368	481	822
369	482	822
370	485	822
371	489	825
372	490	823
373	491	822
374	492	820
375	492	817
376	493	815
377	493	812
378	494	810
379	494	807
380	495	804
381	495	802
382	497	800
383	497	798
384	498	796
385	499	794
386	500	793
387	501	791
388	502	788
389	502	786
390	503	784
391	504	782
392	505	780
393	506	779
394	507	777
395	508	775
396	508	773
397	509	771
398	511	770
399	512	768
400	513	767
401	515	766
402	517	766
403	523	772
404	524	770
405	528	773
406	533	777
407	535	777
408	537	776
409	540	777
410	540	775
411	546	779
412	549	780
413	549	778
414	553	780
415	555	779
416	556	777
417	559	778
418	561	778
419	564	778
420	564	776
421	568	779
422	577	787
423	577	784
424	585	791
425	590	795
426	591	793
427	593	793
428	594	791
429	594	788
430	595	786
431	596	783
432	596	781
433	597	779
434	598	777
435	599	774
436	600	773
437	601	771
438	601	769
439	603	767
440	604	765
441	605	763
442	606	762
443	607	760
444	608	758
445	608	756
446	609	754
447	610	751
448	610	749
449	611	747
450	611	744
451	612	742
452	613	740
453	614	738
454	615	736
455	615	734
456	616	732
457	617	730
458	618	729
459	620	727
460	620	726
461	621	723
462	622	721
463	622	719
464	623	717
465	623	714
466	624	712
467	624	710
468	625	708
469	626	706
470	626	704
471	630	704
472	640	714
473	641	711
474	641	709
475	642	707
476	643	705
477	644	703
478	645	701
479	645	699
480	653	704
481	653	702
482	654	700
483	657	701
484	660	701
485	665	703
486	666	702
487	668	701
488	669	699
489	672	699
490	674	698
491	675	696
492	677	697
493	678	694
494	679	693
495	681	692
496	682	690
497	682	688
498	683	685
499	683	683
500	684	681
501	684	679
502	685	676
503	685	674
504	686	672
505	686	670
506	687	668
507	688	666
508	688	664
509	689	662
510	689	660
511	693	660
512	694	659
513	695	657
514	697	656
515	698	654
516	699	653
517	700	651
518	700	649
519	701	647
520	702	645
521	703	644
522	704	642
523	705	641
524	707	640
525	708	638
526	709	636
527	709	634
528	710	632
529	711	630
530	711	628
531	712	626
532	712	624
533	713	622
534	714	621
535	715	619
536	716	617
537	716	615
538	717	613
539	724	617
540	727	616
541	727	615
542	728	613
543	729	611
544	729	609
545	730	607
546	730	605
547	731	603
548	732	601
549	733	599
550	734	598
551	738	599
552	740	598
553	740	596
554	741	594
555	742	592
556	742	590
557	743	589
558	744	587
559	745	585
560	745	583
561	746	581
562	748	580
563	750	579
564	751	578
565	754	578
566	754	576
567	755	574
568	755	572
569	756	570
570	757	568
571	757	566
572	759	565
573	759	563
574	760	561
575	761	560
576	761	558
577	762	556
578	763	555
579	768	556
580	770	555
581	770	553
582	771	551
583	772	550
584	773	548
585	774	547
586	775	545
587	776	543
588	777	542
589	778	540
590	782	541
591	783	540
592	785	539
593	786	537
594	787	535
595	788	534
596	789	532
597	789	530
598	790	529
599	790	527
600	792	525
601	793	524
602	795	523
603	796	522
604	798	521
605	798	519
606	799	517
607	799	515
608	800	513
609	800	511
610	801	510
611	801	508
612	802	506
613	803	504
614	804	503
615	804	501
616	805	500
617	806	498
618	807	497
619	808	495
620	809	494
621	810	492
622	811	490
623	811	489
624	812	487
625	813	485
626	813	484
627	814	482
628	814	480
629	815	478
630	815	477
631	816	475
632	817	473
633	817	472
634	818	470
635	818	468
636	819	467
637	821	465
638	821	464
639	822	462
640	823	461
641	823	459
642	824	457
643	824	456
644	825	454
645	826	452
646	826	450
647	826	449
648	827	447
649	827	445
650	828	444
651	829	442
652	829	440
653	830	439
654	831	437
655	831	436
656	832	434
657	833	433
658	833	431
659	834	430
660	835	428
661	836	427
662	837	425
663	838	424
664	839	423
665	840	421
666	841	420
667	842	418
668	842	416
669	843	415
670	843	413
671	844	412
672	844	410
673	845	408
674	845	407
675	846	405
676	847	404
677	853	405
678	856	404
679	856	403
680	857	401
681	858	400
682	860	399
683	861	397
684	861	396
685	862	394
686	864	393
687	865	392
688	866	390
689	866	389
690	867	387
691	869	386
692	869	385
693	870	383
694	871	382
695	871	380
696	872	379
697	873	377
698	873	376
699	874	374
700	874	373
701	875	371
702	875	370
703	876	368
704	877	367
705	878	365
706	880	364
707	881	363
708	882	362
709	882	360
710	883	359
711	883	357
712	884	355
713	884	354
714	885	352
715	886	351
716	886	350
717	887	348
718	888	347
719	889	345
720	889	344
721	890	342
722	891	341
723	892	340
724	894	339
725	895	337
726	896	336
727	897	335
728	897	333
729	898	332
730	898	330
731	899	329
732	900	327
733	900	326
734	901	324
735	901	323
736	902	321
737	902	320
738	903	318
739	904	317
740	904	316
741	905	314
742	906	313
743	907	312
744	908	311
745	909	309
746	910	308
747	911	306
748	911	305
749	912	304
750	912	302
751	913	301
752	914	300
753	915	298
754	916	297
755	917	295
756	917	294
757	918	293
758	918	291
759	919	290
760	920	289
761	921	287
762	922	286
763	923	285
764	924	283
765	925	282
766	925	281
767	926	279
768	926	278
769	927	277
770	929	276
771	930	274
772	931	273
773	931	272
774	932	270
775	932	269
776	933	267
777	934	266
778	935	265
779	936	264
780	937	262
781	938	261
782	938	260
783	940	259
784	941	257
785	941	256
786	942	254
787	944	254
788	946	253
789	947	251
790	948	250
791	948	249
792	950	248
793	952	246
794	953	245
795	953	244
796	954	243
797	955	241
798	955	240
799	956	239
800	956	237
801	957	236
802	957	234
803	958	233
804	958	232
805	959	230
806	960	229
807	960	228
808	961	226
809	962	225
810	963	224
811	965	223
812	965	222
813	966	220
814	967	219
815	967	218
816	968	216
817	969	215
818	969	214
819	970	213
820	971	211
821	972	210
822	973	209
